Index,IssueID,Name,ResolutionStatus,AffectVersions,FixVersions
1,13093560,BOOKKEEPER-1105,Fixed,"4.5.0","4.6.0;4.5.1"
2,13090630,BOOKKEEPER-1104,Fixed,"","4.5.0"
3,13090345,BOOKKEEPER-1103,Fixed,"4.5.0","4.5.0"
4,13089196,BOOKKEEPER-1102,Fixed,"4.5.0","4.5.0"
5,13088111,BOOKKEEPER-1101,Fixed,"","4.5.0"
6,13079900,BOOKKEEPER-1098,Fixed,"","4.5.0"
7,13075184,BOOKKEEPER-1079,Fixed,"4.5.0","4.5.0"
8,13074734,BOOKKEEPER-1077,Fixed,"","4.5.0"
9,13074726,BOOKKEEPER-1075,Fixed,"","4.5.0"
10,13074721,BOOKKEEPER-1074,Fixed,"","4.5.0"
11,13074719,BOOKKEEPER-1073,Fixed,"","4.5.0"
12,13074705,BOOKKEEPER-1072,Fixed,"","4.5.0"
13,13072993,BOOKKEEPER-1071,Fixed,"4.5.0","4.5.0"
14,13070947,BOOKKEEPER-1061,Fixed,"","4.5.0"
15,13070900,BOOKKEEPER-1058,Fixed,"","4.5.0"
16,13069215,BOOKKEEPER-1047,Fixed,"","4.5.0"
17,13066528,BOOKKEEPER-1044,Fixed,"","4.5.0"
18,13062979,BOOKKEEPER-1031,Fixed,"4.4.0","4.5.0"
19,13061227,BOOKKEEPER-1021,Fixed,"","4.5.0"
20,13060866,BOOKKEEPER-1020,Fixed,"4.5.0","4.5.0"
21,13059492,BOOKKEEPER-1018,Fixed,"","4.5.0"
22,13058450,BOOKKEEPER-1013,Fixed,"","4.5.0"
23,13041402,BOOKKEEPER-999,Fixed,"4.4.0","4.5.0"
24,13029576,BOOKKEEPER-989,Fixed,"","4.5.0"
25,13028977,BOOKKEEPER-988,Fixed,"","4.5.0"
26,13028703,BOOKKEEPER-987,Fixed,"4.5.0","4.5.0"
27,13027880,BOOKKEEPER-986,Fixed,"","4.5.0"
28,13027149,BOOKKEEPER-984,Fixed,"","4.5.0"
29,13024170,BOOKKEEPER-980,Fixed,"","4.5.0"
30,13013834,BOOKKEEPER-959,Fixed,"4.4.0","4.5.0"
31,13013709,BOOKKEEPER-958,Fixed,"","4.5.0"
32,13013690,BOOKKEEPER-957,Fixed,"",""
33,13013675,BOOKKEEPER-956,Fixed,"","4.5.0"
34,13013669,BOOKKEEPER-955,Fixed,"","4.5.0"
35,13012252,BOOKKEEPER-952,Fixed,"","4.5.0"
36,12988551,BOOKKEEPER-940,Fixed,"4.5.0","4.5.0"
37,12988400,BOOKKEEPER-939,Fixed,"","4.5.0"
38,12987909,BOOKKEEPER-938,Fixed,"4.5.0","4.5.0"
39,12980215,BOOKKEEPER-933,Fixed,"","4.5.0"
