Index,IssueID,Name,InjectVersion,OpeningVersion,AffectedVersions,FixVersions
1,13614695,OPENJPA-2936,4.0.1,4.1.0,"4.0.1;4.1.0","4.1.1"
2,13605430,OPENJPA-2933,4.0.1,4.0.1,"4.0.1","4.1.0"
3,13605078,OPENJPA-2932,4.0.1,4.0.1,"4.0.1","4.1.0"
4,13602968,OPENJPA-2930,4.0.1,4.0.1,"4.0.1","4.1.0"
5,13593524,OPENJPA-2928,4.0.1,4.0.1,"4.0.1","4.1.0"
6,13590180,OPENJPA-2925,3.2.2,4.0.0,"3.2.2;4.0.0","4.1.1"
7,13585390,OPENJPA-2923,4.0.0,4.0.0,"4.0.0","4.0.1"
8,13580595,OPENJPA-2921,4.0.0,4.0.0,"4.0.0","4.0.1"
9,13560226,OPENJPA-2918,N/A,3.2.2,"",""
10,13551137,OPENJPA-2915,3.2.2,3.2.2,"3.2.2","4.0.0"
11,13533336,OPENJPA-2907,3.2.2,3.2.2,"3.2.2",""
12,13427435,OPENJPA-2898,3.2.1,3.2.1,"3.2.1;3.2.2","4.1.0"
13,13418216,OPENJPA-2896,N/A,3.2.0,"","3.2.1"
14,13414503,OPENJPA-2891,3.2.0,3.2.0,"3.2.0","3.2.1"
15,13413196,OPENJPA-2889,3.2.0,3.2.0,"3.2.0","3.2.1"
16,13407779,OPENJPA-2883,3.2.0,3.2.0,"3.2.0","3.2.1"
17,13406236,OPENJPA-2882,N/A,3.2.0,"","3.2.1"
18,13389149,OPENJPA-2877,N/A,3.2.0,"","3.2.1"
19,13383264,OPENJPA-2876,3.0.0,3.2.0,"3.0.0","3.2.1"
20,13377427,OPENJPA-2871,3.2.0,3.1.2,"3.2.0","3.2.0"
21,13370796,OPENJPA-2866,3.1.2,3.1.2,"3.1.2","3.2.0"
22,13370640,OPENJPA-2865,3.1.2,3.1.2,"3.1.2","3.2.0"
23,13370381,OPENJPA-2864,3.1.2,3.1.2,"3.1.2","3.2.0"
24,13370336,OPENJPA-2863,3.1.2,3.1.2,"3.1.2","3.2.0"
25,13369867,OPENJPA-2862,3.1.2,3.1.2,"3.1.2","3.2.0"
26,13369821,OPENJPA-2861,3.1.2,3.1.2,"3.1.2","3.2.0"
