TicketID,CommitHash,CommitMessage
OPENJPA-2170,3bfaadf1c10169e7ca7fbc23719b044b6a64d1a2,"OPENJPA-2170 - Clear the batching cache regardless if the batch execution has succeeded or failed to avoid duplicated SQL updates.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1312030 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2172,96751867c9dd063df97478c0ab759372dfd235d2,"OPENJPA-2172.  In order to pass the TCK, we needed to add the slf4j dependency into the TCK pom.xml.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1468447 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2172,2e996c9918ec5b18fcf05d0ef5faa1690a0369f9,"OPENJPA-2172.  Remove the dependency on the slf4j runtime bundle from openjpa-all.jar.  Also, modified the persistence.xml files for the OpenBooks sample to set the Validation-Mode to None (since it's not being used).  This way, we can avoid the dependency altogether.  This also required the update to the persistence.xml files to point at the JPA 2.0 xsd files.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1468108 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2172,8ac15ebf931b481cd37c8828ef7c36c2a01448aa,"OPENJPA-2172.  openjpa-all/pom.xml updates for slf4j-simple (runtime).  Also, updated openbooks properties files to correspond to the version of openjpa being built.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1325902 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2178,aac116c904fb66ab33c8e7d72630cd3ad549bb49,"OPENJPA-2178 switch Date PostgreSQL preci from CENTI to MICRO  We looked at the PostgreSQL documentation back to pgsql-6.3 (1998) and all versions since then can deal with microseconds for TIMESTAMP  fields.   git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1330898 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-2174,ebe06fdf352a63c3152874b3efdc4960108cf3b5,"OPENJPA-2174: Applied Helen Xu's patch to trunk  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@1344721 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-1088,f6c64474ed64421f291244dc34e575ffc3a4c6a4,"OPENJPA-1088 fix new all target for Windows users  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@775344 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-1088,0af9c4e7756b2fb792fd995e405fcfc51706ddb2,"OPENJPA-1088 fix openjpa-examples build failure when built from the root pom instead of openjkpa-examples/pom.xml  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@775185 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-1088,0b3dcc44334eb63dea824c63bbfd0f6a82548180,"OPENJPA-1088 Build updates for openjpa-examples and openjpa-integration/examples  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@775150 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-51,89695ec253f59efcafe9aafb2d14afb6f6fc2edb,"OPENJPA-51 A  non-correlated subquery resulting SQL syntax error   git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@676787 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-51,b2812a4cce25e17a52519036f3a7a66298a4d1ef,"OPENJPA-51 Incorrect SQL with syntax error for JPQL subqueries  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@676467 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-51,be91d228c537529c5bb7a9681a083b2e422ce0e5,"OPENJPA-51. Committing Catalina's patch. It passes against Derby in my environment as well.  git-svn-id: https://svn.apache.org/repos/asf/openjpa/trunk@549882 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-51,59bd5b0d3f891f16d7f9ca93dea13b40c082c11d,"OPENJPA-51 removing testcases  git-svn-id: https://svn.apache.org/repos/asf/incubator/openjpa/trunk@536706 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-51,23beb964c591d2c6dac0a3f3b7828fcfcfcc67b8,"undo patch for OPENJPA-51, revert back to r52881  git-svn-id: https://svn.apache.org/repos/asf/incubator/openjpa/trunk@536692 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-51,bcc3b67223feefb2b379df3afb66295555f4a5c1,"add query test for OPENJPA-51, queries with subselects with correlated/non-correlated aliases  git-svn-id: https://svn.apache.org/repos/asf/incubator/openjpa/trunk@535003 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-51,a044af3287e0ec164de9d0b6841998369860045f,"Fix for issue OPENJPA-51. It should also resolve issue OPENJPA-173. Change to use BitSet.  git-svn-id: https://svn.apache.org/repos/asf/incubator/openjpa/trunk@534647 13f79535-47bb-0310-9956-ffa450edef68 "
OPENJPA-51,d5d214c1821cb78f4bf644cf0c1fe2d5cb092f69,"Fix for issue OPENJPA-51. It should also resolve issue OPENJPA-173.  git-svn-id: https://svn.apache.org/repos/asf/incubator/openjpa/trunk@534623 13f79535-47bb-0310-9956-ffa450edef68 "
